"logZ","niter","error","relative_error","below_tolerance","method","mu","nu","max_iter","eps","true_value"
0.104581,12,1.47206e-13,1.32588e-13,1,"ST",0.1,0.1,1e+05,1e-11,0.104581453021831
0.104581,11,9.31907e-13,8.3937e-13,1,"errorBounding",0.1,0.1,1e+05,1e-11,0.104581453021831
0.104581,12,1.88421e-12,1.69711e-12,1,"brms",0.1,0.1,1e+05,1e-11,0.104581453021831
0.104581,12,1.47206e-13,1.32588e-13,1,"brms_bulk",0.1,0.1,1e+05,1e-11,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-12,0.104581453021831
0.104581,13,1.1525e-14,1.03806e-14,1,"ST",0.1,0.1,1e+05,1e-12,0.104581453021831
0.104581,11,9.31907e-13,8.3937e-13,1,"errorBounding",0.1,0.1,1e+05,1e-12,0.104581453021831
0.104581,13,1.46867e-13,1.32283e-13,1,"brms",0.1,0.1,1e+05,1e-12,0.104581453021831
0.104581,13,1.17561e-14,1.05888e-14,1,"brms_bulk",0.1,0.1,1e+05,1e-12,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-13,0.104581453021831
0.104581,14,1.09395e-15,9.85323e-16,1,"ST",0.1,0.1,1e+05,1e-13,0.104581453021831
0.104581,12,7.28171e-14,6.55864e-14,1,"errorBounding",0.1,0.1,1e+05,1e-13,0.104581453021831
0.104581,14,1.15558e-14,1.04083e-14,1,"brms",0.1,0.1,1e+05,1e-13,0.104581453021831
0.104581,14,1.30966e-15,1.17961e-15,1,"brms_bulk",0.1,0.1,1e+05,1e-13,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-14,0.104581453021831
0.104581,15,2.00301e-16,1.80411e-16,1,"ST",0.1,0.1,1e+05,1e-14,0.104581453021831
0.104581,13,5.7625e-15,5.19029e-15,1,"errorBounding",0.1,0.1,1e+05,1e-14,0.104581453021831
0.104581,15,1.04773e-15,9.4369e-16,1,"brms",0.1,0.1,1e+05,1e-14,0.104581453021831
0.104581,15,4.31417e-16,3.88578e-16,1,"brms_bulk",0.1,0.1,1e+05,1e-14,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-15,0.104581453021831
0.104581,15,2.00301e-16,1.80411e-16,1,"ST",0.1,0.1,1e+05,1e-15,0.104581453021831
0.104581,14,6.47126e-16,5.82867e-16,1,"errorBounding",0.1,0.1,1e+05,1e-15,0.104581453021831
0.104581,15,1.04773e-15,9.4369e-16,0,"brms",0.1,0.1,1e+05,1e-15,0.104581453021831
0.104581,15,4.31417e-16,3.88578e-16,1,"brms_bulk",0.1,0.1,1e+05,1e-15,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-16,0.104581453021831
0.104581,16,2.00301e-16,1.80411e-16,0,"ST",0.1,0.1,1e+05,1e-16,0.104581453021831
0.104581,15,4.31417e-16,3.88578e-16,0,"errorBounding",0.1,0.1,1e+05,1e-16,0.104581453021831
0.104581,16,3.23563e-16,2.91434e-16,0,"brms",0.1,0.1,1e+05,1e-16,0.104581453021831
0.104581,16,2.00301e-16,1.80411e-16,0,"brms_bulk",0.1,0.1,1e+05,1e-16,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-17,0.104581453021831
0.104581,17,2.00301e-16,1.80411e-16,0,"ST",0.1,0.1,1e+05,1e-17,0.104581453021831
0.104581,16,2.00301e-16,1.80411e-16,0,"errorBounding",0.1,0.1,1e+05,1e-17,0.104581453021831
0.104581,17,3.23563e-16,2.91434e-16,0,"brms",0.1,0.1,1e+05,1e-17,0.104581453021831
0.104581,17,2.00301e-16,1.80411e-16,0,"brms_bulk",0.1,0.1,1e+05,1e-17,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-18,0.104581453021831
0.104581,18,2.00301e-16,1.80411e-16,0,"ST",0.1,0.1,1e+05,1e-18,0.104581453021831
0.104581,17,2.00301e-16,1.80411e-16,0,"errorBounding",0.1,0.1,1e+05,1e-18,0.104581453021831
0.104581,18,3.23563e-16,2.91434e-16,0,"brms",0.1,0.1,1e+05,1e-18,0.104581453021831
0.104581,18,2.00301e-16,1.80411e-16,0,"brms_bulk",0.1,0.1,1e+05,1e-18,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-19,0.104581453021831
0.104581,19,2.00301e-16,1.80411e-16,0,"ST",0.1,0.1,1e+05,1e-19,0.104581453021831
0.104581,18,2.00301e-16,1.80411e-16,0,"errorBounding",0.1,0.1,1e+05,1e-19,0.104581453021831
0.104581,19,3.23563e-16,2.91434e-16,0,"brms",0.1,0.1,1e+05,1e-19,0.104581453021831
0.104581,19,2.00301e-16,1.80411e-16,0,"brms_bulk",0.1,0.1,1e+05,1e-19,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-20,0.104581453021831
